Release,Date from,Date to,Top 1 companies commits as percent of all,Top 2 companies commits as percent of all,Top 3 companies commits as percent of all,Top 4 companies commits as percent of all,Top 5 companies commits as percent of all,Top 10 companies commits as percent of all,Top 15 companies commits as percent of all,Top 20 companies commits as percent of all,Top 25 companies commits as percent of all,Top 30 companies commits as percent of all,Top 50 companies commits as percent of all,Top 100 companies commits as percent of all,Top 200 companies commits as percent of all,Top 500 companies commits as percent of all,Top 1000 companies commits as percent of all
03/2018,3/1/2018,4/1/2018,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%
04/2018,4/1/2018,5/1/2018,60.7%,60.7%,60.7%,60.7%,60.7%,60.7%,60.7%,60.7%,60.7%,60.7%,60.7%,60.7%,60.7%,60.7%,60.7%
Quarter from 10/2015,10/1/2015,1/1/2016,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 01/2016,1/1/2016,4/1/2016,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 04/2016,4/1/2016,7/1/2016,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 07/2016,7/1/2016,10/1/2016,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 10/2016,10/1/2016,1/1/2017,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 01/2017,1/1/2017,4/1/2017,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 04/2017,4/1/2017,7/1/2017,92.0%,92.0%,92.0%,92.0%,92.0%,92.0%,92.0%,92.0%,92.0%,92.0%,92.0%,92.0%,92.0%,92.0%,92.0%
Quarter from 07/2017,7/1/2017,10/1/2017,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 10/2017,10/1/2017,1/1/2018,98.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 01/2018,1/1/2018,4/1/2018,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%
