Release,Date from,Date to,Distinct companies for top 1 contributors,Distinct companies for top 2 contributors,Distinct companies for top 3 contributors,Distinct companies for top 4 contributors,Distinct companies for top 5 contributors,Distinct companies for top 10 contributors,Distinct companies for top 15 contributors,Distinct companies for top 20 contributors,Distinct companies for top 25 contributors,Distinct companies for top 30 contributors,Distinct companies for top 50 contributors,Distinct companies for top 100 contributors,Distinct companies for top 200 contributors,Distinct companies for top 500 contributors,Distinct companies for top 1000 contributors
06/2016,6/1/2016,7/1/2016,1,1,1,2,2,4,5,6,8,8,10,10,10,10,10
07/2016,7/1/2016,8/1/2016,1,1,1,2,3,4,5,5,5,5,6,6,6,6,6
08/2016,8/1/2016,9/1/2016,1,1,1,1,1,3,4,5,6,7,9,9,9,9,9
09/2016,9/1/2016,10/1/2016,1,1,1,2,3,6,7,8,9,11,18,18,18,18,18
10/2016,10/1/2016,11/1/2016,1,1,1,2,2,5,7,8,9,9,12,12,12,12,12
11/2016,11/1/2016,12/1/2016,1,1,1,1,2,3,5,6,7,7,9,9,9,9,9
12/2016,12/1/2016,1/1/2017,1,1,1,2,2,4,7,8,8,9,10,10,10,10,10
01/2017,1/1/2017,2/1/2017,1,1,1,1,1,3,5,6,6,6,13,14,14,14,14
02/2017,2/1/2017,3/1/2017,1,1,2,3,3,6,8,8,9,9,10,12,12,12,12
03/2017,3/1/2017,4/1/2017,1,1,2,3,3,4,5,7,11,14,18,23,23,23,23
04/2017,4/1/2017,5/1/2017,1,1,2,3,4,6,6,7,8,9,17,23,23,23,23
05/2017,5/1/2017,6/1/2017,1,1,2,2,3,4,5,6,7,11,18,19,19,19,19
06/2017,6/1/2017,7/1/2017,1,1,2,3,4,6,8,10,10,11,16,18,18,18,18
07/2017,7/1/2017,8/1/2017,1,1,2,3,3,6,6,7,8,9,14,16,16,16,16
08/2017,8/1/2017,9/1/2017,1,1,2,2,3,4,5,6,6,7,11,13,13,13,13
09/2017,9/1/2017,10/1/2017,1,1,2,3,4,6,8,9,9,10,16,23,23,23,23
10/2017,10/1/2017,11/1/2017,1,1,2,3,4,6,7,8,12,16,17,22,22,22,22
11/2017,11/1/2017,12/1/2017,1,1,2,3,3,8,8,8,9,10,14,21,21,21,21
12/2017,12/1/2017,1/1/2018,1,2,3,3,3,5,5,5,5,8,12,12,12,12,12
01/2018,1/1/2018,2/1/2018,0,1,1,1,2,5,5,5,5,6,10,16,16,16,16
02/2018,2/1/2018,3/1/2018,1,1,1,2,2,4,5,5,5,5,11,14,14,14,14
03/2018,3/1/2018,4/1/2018,1,1,2,2,3,4,5,5,6,6,9,11,11,11,11
04/2018,4/1/2018,5/1/2018,1,1,2,3,3,5,5,5,6,6,6,6,6,6,6
Quarter from 01/2014,1/1/2014,4/1/2014,1,1,1,2,2,6,9,10,10,11,14,16,16,16,16
Quarter from 04/2014,4/1/2014,7/1/2014,1,1,1,1,1,6,8,11,12,13,17,20,20,20,20
Quarter from 07/2014,7/1/2014,10/1/2014,1,1,1,2,2,5,6,8,9,10,15,22,22,22,22
Quarter from 10/2014,10/1/2014,1/1/2015,1,1,2,2,2,5,7,9,11,12,17,19,19,19,19
Quarter from 01/2015,1/1/2015,4/1/2015,1,1,1,1,1,5,7,9,10,12,14,20,20,20,20
Quarter from 04/2015,4/1/2015,7/1/2015,1,2,2,2,3,5,6,9,11,12,17,20,20,20,20
Quarter from 07/2015,7/1/2015,10/1/2015,1,1,1,2,3,4,6,7,8,9,16,22,22,22,22
Quarter from 10/2015,10/1/2015,1/1/2016,1,1,2,3,4,5,5,6,6,8,9,20,20,20,20
Quarter from 01/2016,1/1/2016,4/1/2016,1,1,1,2,2,4,4,5,6,6,12,21,21,21,21
Quarter from 04/2016,4/1/2016,7/1/2016,1,1,1,1,2,5,6,7,8,10,11,18,19,19,19
Quarter from 07/2016,7/1/2016,10/1/2016,1,1,1,2,3,4,5,6,6,8,10,18,25,25,25
Quarter from 10/2016,10/1/2016,1/1/2017,1,1,1,1,2,4,6,7,9,10,15,19,23,23,23
Quarter from 01/2017,1/1/2017,4/1/2017,1,1,1,2,3,3,5,7,10,12,17,35,40,40,40
Quarter from 04/2017,4/1/2017,7/1/2017,1,1,2,3,3,4,6,9,11,11,19,36,46,46,46
Quarter from 07/2017,7/1/2017,10/1/2017,1,1,2,3,3,6,8,9,9,10,17,24,38,38,38
Quarter from 10/2017,10/1/2017,1/1/2018,1,2,2,3,3,6,10,13,13,13,16,34,42,42,42
Quarter from 01/2018,1/1/2018,4/1/2018,1,1,1,2,2,4,5,8,8,8,10,14,29,32,32
Quarter from 04/2018,4/1/2018,7/1/2018,1,1,2,3,3,5,5,5,5,5,6,6,6,6,6
